Source,Target,Type
540260,651412,Directed
540260,775392,Directed
540260,821216,Directed
540260,852710,Directed
542572,47597,Directed
542572,104195,Directed
542572,197939,Directed
542572,598763,Directed
542572,680186,Directed
542572,810489,Directed
543455,121620,Directed
543455,500322,Directed
545981,473193,Directed
545981,616554,Directed
551869,163,Directed
551869,32910,Directed
551869,75122,Directed
551869,270919,Directed
551869,653898,Directed
551869,836203,Directed
553625,145820,Directed
553625,383151,Directed
553625,886147,Directed
553625,942407,Directed
561366,313048,Directed
561366,332552,Directed
561887,78175,Directed
561887,152076,Directed
561887,206285,Directed
561887,698186,Directed
561887,769932,Directed
561887,953434,Directed
561887,960245,Directed
563187,61899,Directed
563187,802843,Directed
563725,21956,Directed
563725,94059,Directed
563725,112993,Directed
563725,188152,Directed
563725,353233,Directed
563725,637827,Directed
563725,655211,Directed
563725,675871,Directed
563725,756573,Directed
567379,235597,Directed
567379,252912,Directed
567379,385014,Directed
567379,421466,Directed
567379,663320,Directed
567379,697359,Directed
567379,766344,Directed
567379,884986,Directed
568077,460550,Directed
568077,466896,Directed
568077,601449,Directed
570165,172462,Directed
570165,188152,Directed
570165,658402,Directed
572230,118533,Directed
572230,213254,Directed
572230,223922,Directed
572230,240834,Directed
572230,262703,Directed
572230,473193,Directed
572230,754759,Directed
572230,956944,Directed
577224,78162,Directed
578075,108597,Directed
578075,756573,Directed
578075,956944,Directed
582085,64768,Directed
582085,81245,Directed
582085,138755,Directed
582085,183403,Directed
582085,353813,Directed
582085,543284,Directed
582085,552577,Directed
582085,710410,Directed
582085,802835,Directed
584320,682577,Directed
584320,750650,Directed
584320,782281,Directed
586259,466896,Directed
589242,69041,Directed
589242,164407,Directed
589591,602762,Directed
590169,205732,Directed
590169,570165,Directed
590169,647762,Directed
590169,956944,Directed
591230,84021,Directed
594288,148633,Directed
594288,216570,Directed
594288,235283,Directed
594288,283876,Directed
594288,513397,Directed
594288,854647,Directed
594288,857862,Directed
594288,978737,Directed
597737,230488,Directed
597737,252284,Directed
597737,604011,Directed
597737,886147,Directed
597737,979375,Directed
598009,556966,Directed
600594,243740,Directed
600594,809936,Directed
600594,864535,Directed
602762,46040,Directed
602762,339616,Directed
602762,367748,Directed
602762,563725,Directed
602762,734241,Directed
602762,794425,Directed
602762,956944,Directed
603524,964115,Directed
604283,507664,Directed
605595,152076,Directed
605595,206285,Directed
605595,339616,Directed
607806,78175,Directed
607806,206285,Directed
607806,217818,Directed
607806,570165,Directed
607806,652747,Directed
607806,653288,Directed
607806,695630,Directed
607806,698186,Directed
607806,769932,Directed
607806,772920,Directed
607806,827256,Directed
607806,953434,Directed
607806,960245,Directed
616279,367659,Directed
616279,664421,Directed
616554,33428,Directed
616554,80629,Directed
616554,147677,Directed
616554,157440,Directed
616554,252546,Directed
616554,262703,Directed
616554,269905,Directed
616554,361524,Directed
616554,394026,Directed
616554,450925,Directed
616554,473193,Directed
616554,490739,Directed
616554,520293,Directed
616554,572230,Directed
616554,635536,Directed
616554,754759,Directed
616554,824622,Directed
619925,125695,Directed
619925,427552,Directed
619925,725464,Directed
621083,538853,Directed
622212,46040,Directed
622212,284560,Directed
622212,367748,Directed
622212,371166,Directed
622212,623730,Directed
622212,675871,Directed
622820,173104,Directed
622820,188152,Directed
622820,393065,Directed
622820,655211,Directed
622820,675871,Directed
622820,689617,Directed
622820,754759,Directed
622820,756573,Directed
623730,206285,Directed
623730,251169,Directed
623730,339616,Directed
623730,466896,Directed
623730,561887,Directed
623730,653288,Directed
623730,698186,Directed
624049,188429,Directed
624049,371166,Directed
624049,679770,Directed
624049,861535,Directed
627599,169357,Directed
628125,469668,Directed
634803,290808,Directed
634803,721631,Directed
635489,16505,Directed
635489,67884,Directed
635489,82196,Directed
635489,170470,Directed
635489,331182,Directed
635489,650196,Directed
635489,652747,Directed
635489,652916,Directed
635489,710410,Directed
635489,908732,Directed
635489,915341,Directed
635536,147677,Directed
635536,157440,Directed
635536,213254,Directed
635536,824622,Directed
635536,870270,Directed
637827,112993,Directed
637827,263107,Directed
637827,293406,Directed
637827,353233,Directed
637827,466896,Directed
637827,484938,Directed
637827,622820,Directed
637827,655211,Directed
642729,36606,Directed
642729,460550,Directed
648523,361524,Directed
648523,713786,Directed
648523,935380,Directed
650196,908186,Directed
651412,86293,Directed
651412,108058,Directed
651412,217818,Directed
651412,315940,Directed
651412,570165,Directed
651412,658402,Directed
651412,689617,Directed
651412,754759,Directed
651412,789840,Directed
651412,837286,Directed
651412,949596,Directed
651766,330419,Directed
651766,760664,Directed
652747,188429,Directed
652747,516390,Directed
652747,624049,Directed
652916,4668,Directed
652916,50277,Directed
652916,58981,Directed
652916,269137,Directed
652916,394410,Directed
652916,427552,Directed
652916,584320,Directed
652916,619925,Directed
652916,653991,Directed
652916,673140,Directed
652916,682577,Directed
652916,725464,Directed
652916,739879,Directed
652916,786605,Directed
652916,818621,Directed
652916,823708,Directed
653288,78175,Directed
653288,108058,Directed
653288,152076,Directed
653288,217818,Directed
653288,234571,Directed
653288,339105,Directed
653288,484938,Directed
653288,570165,Directed
653288,624049,Directed
653288,642729,Directed
653288,662404,Directed
653288,691298,Directed
653288,769932,Directed
653288,969631,Directed
653898,32910,Directed
653898,45980,Directed
653898,75122,Directed
653898,118479,Directed
653898,464007,Directed
653898,836203,Directed
653991,61899,Directed
653991,76402,Directed
653991,773389,Directed
655211,33428,Directed
655211,293406,Directed
655211,367748,Directed
655211,466896,Directed
655211,570165,Directed
655211,651412,Directed
655211,651766,Directed
655211,675871,Directed
655211,734241,Directed
655211,852710,Directed
658225,731658,Directed
662404,69334,Directed
662404,80094,Directed
662404,323603,Directed
662404,600594,Directed
662404,652747,Directed
662404,691298,Directed
662404,817255,Directed
662404,837286,Directed
